gen,k1,k2,f,w,paramsMuted
842034,10000199.1629,100000253.177,16.2943865273,0.999966680753,f k1 k2
847287,10000222.1815,100000268.92,15.7454147804,0.999971231444,f k1 k2
850035,10000222.1815,100000268.92,32.1752257644,0.999805725446,f
851329,10000222.1815,100000268.92,6.23045799847,0.999970293883,f
860272,10000221.2472,100000286.055,6.23045799847,0.99997029389,k1 k2
863696,10000221.2472,100000313.344,20.9120765097,0.99992329106,f k2
865953,10000221.2472,100000313.344,19.8744899289,0.999933609653,f
867815,10000239.6061,100000293.322,19.8744899289,0.999933609333,k1 k2
871944,10000208.7882,100000313.648,12.5409997921,0.99999291208,f k1 k2
876331,10000212.1908,100000315.863,12.5409997921,0.999992912058,k1 k2
881517,10000212.1908,100000315.863,39.0473782458,0.999735465495,f
882946,10000219.3433,100000305.728,18.545921946,0.999946429332,f k1 k2
883209,10000216.7593,100000307.185,44.94346989,0.999677771957,f k1 k2
885396,10000173.5685,100000303.38,63.0613851035,0.999516483839,f k1 k2
888025,10000174.2368,100000294.213,68.4217946245,0.999473054583,f k1 k2
889075,10000174.2368,100000294.213,64.9769544167,0.999500756197,f
890934,10000174.2368,100000294.213,48.7554271144,0.99964185718,f
894065,10000149.1209,100000294.213,11.7621541225,0.999996369065,f k1
894996,10000149.1209,100000286.391,11.7621541225,0.999996369068,k2
896805,10000149.1209,100000303.509,28.8947678865,0.999840113994,f k2
899267,10000160.8817,100000286.648,6.32878812503,0.999972196947,f k1 k2
905435,10000174.8284,100000297.227,47.6044977998,0.999652586259,f k1 k2
905799,10000174.8284,100000308.798,47.6044977998,0.999652586214,k2
908040,10000174.8284,100000287.209,47.6044977998,0.999652586298,k2
909197,10000155.7813,100000304.958,1.55625533798,0.999593438667,f k1 k2
913577,10000156.0908,100000304.958,1.55625533798,0.999593438679,k1
918811,10000152.714,100000304.958,1.55625533798,0.999593438548,k1
919096,10000152.714,100000331.608,2.42785603537,0.999753991077,f k2
922687,10000174.6959,100000331.608,13.1986347321,0.999989326678,f k1
